length,hydrophobic_ratio,polar_ratio,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,acr_type
494,0.39473684210526316,0.21052631578947367,0.0931174089068826,0.008097165991902834,0.058704453441295545,0.058704453441295545,0.048582995951417005,0.048582995951417005,0.038461538461538464,0.0465587044534413,0.05465587044534413,0.0951417004048583,0.04251012145748988,0.030364372469635626,0.06477732793522267,0.02834008097165992,0.06275303643724696,0.048582995951417005,0.06882591093117409,0.06072874493927125,0.008097165991902834,0.03441295546558704,unknown
1055,0.4881516587677725,0.2075829383886256,0.11563981042654028,0.0,0.04265402843601896,0.043601895734597156,0.05308056872037915,0.07393364928909953,0.013270142180094787,0.06445497630331753,0.026540284360189573,0.1080568720379147,0.035071090047393366,0.03317535545023697,0.05402843601895735,0.046445497630331754,0.05023696682464455,0.06350710900473934,0.046445497630331754,0.1033175355450237,0.008530805687203791,0.01800947867298578,unknown
628,0.46178343949044587,0.267515923566879,0.10031847133757962,0.0015923566878980893,0.042993630573248405,0.03503184713375796,0.04936305732484077,0.06687898089171974,0.009554140127388535,0.06369426751592357,0.03980891719745223,0.10987261146496816,0.03503184713375796,0.04617834394904458,0.050955414012738856,0.06210191082802548,0.02388535031847134,0.06210191082802548,0.06847133757961783,0.09872611464968153,0.004777070063694267,0.028662420382165606,unknown
569,0.46924428822495606,0.2601054481546573,0.10017574692442882,0.0017574692442882249,0.043936731107205626,0.029876977152899824,0.04569420035149385,0.06854130052724078,0.008787346221441126,0.070298769771529,0.040421792618629174,0.11423550087873462,0.03690685413005272,0.04569420035149385,0.0492091388400703,0.056239015817223195,0.028119507908611598,0.0632688927943761,0.06502636203866433,0.09666080843585237,0.005272407732864675,0.029876977152899824,unknown
569,0.47451669595782076,0.2565905096660808,0.10193321616871705,0.0017574692442882249,0.0421792618629174,0.029876977152899824,0.04569420035149385,0.070298769771529,0.008787346221441126,0.070298769771529,0.040421792618629174,0.11599297012302284,0.03690685413005272,0.04569420035149385,0.04745166959578207,0.056239015817223195,0.028119507908611598,0.061511423550087874,0.0632688927943761,0.0984182776801406,0.005272407732864675,0.029876977152899824,unknown
560,0.45,0.22678571428571428,0.09107142857142857,0.0035714285714285713,0.03571428571428571,0.055357142857142855,0.055357142857142855,0.0875,0.01607142857142857,0.048214285714285716,0.030357142857142857,0.12142857142857143,0.03571428571428571,0.05,0.04107142857142857,0.033928571428571426,0.05357142857142857,0.06785714285714285,0.04642857142857143,0.08928571428571429,0.008928571428571428,0.02857142857142857,unknown
620,0.4629032258064516,0.2661290322580645,0.09838709677419355,0.0016129032258064516,0.043548387096774194,0.035483870967741936,0.04838709677419355,0.07096774193548387,0.008064516129032258,0.06451612903225806,0.04032258064516129,0.11129032258064517,0.035483870967741936,0.0467741935483871,0.0467741935483871,0.06129032258064516,0.024193548387096774,0.06129032258064516,0.06774193548387097,0.1,0.004838709677419355,0.02903225806451613,unknown
1059,0.5004721435316336,0.21340887629839472,0.13125590179414542,0.0018885741265344666,0.04627006610009443,0.0339943342776204,0.049102927289896126,0.07176581680830972,0.0028328611898017,0.07271010387157696,0.0226628895184136,0.10764872521246459,0.012275731822474031,0.02927289896128423,0.049102927289896126,0.05288007554296506,0.05760151085930123,0.05004721435316336,0.053824362606232294,0.11898016997167139,0.0084985835694051,0.027384324834749764,unknown
569,0.46924428822495606,0.2601054481546573,0.10017574692442882,0.0017574692442882249,0.043936731107205626,0.029876977152899824,0.04569420035149385,0.06854130052724078,0.008787346221441126,0.070298769771529,0.040421792618629174,0.11423550087873462,0.03690685413005272,0.04569420035149385,0.0492091388400703,0.056239015817223195,0.028119507908611598,0.0632688927943761,0.06502636203866433,0.09666080843585237,0.005272407732864675,0.029876977152899824,unknown
1050,0.4742857142857143,0.2419047619047619,0.11047619047619048,0.0019047619047619048,0.04,0.037142857142857144,0.04380952380952381,0.07809523809523809,0.0038095238095238095,0.07047619047619047,0.021904761904761906,0.11238095238095239,0.02095238095238095,0.03238095238095238,0.05333333333333334,0.05714285714285714,0.047619047619047616,0.06285714285714286,0.05904761904761905,0.10952380952380952,0.006666666666666667,0.030476190476190476,unknown
